joe_issue_ID,jp_id,jp_section,jp_institution,jp_division,jp_department,jp_keywords,jp_title,jp_full_text,jp_salary_range,jp_agency_insertion_num,locations,JEL_Classifications,Application_deadline,Date_Active
2025-02,111475967,"International: Full-Time Academic (Permanent, Tenure Track or Tenured)",Academia Sinica,,Research Center for Humanities and Social Sciences,any subfield of Empirical Microeconomics,Research Fellow,"Position Title
Research Fellow (equivalent to Full Professor at university) 

The Center for Institution and Behavior Studies at the Research Center for Humanities and Social Sciences, Academia Sinica, Taiwan, invites applications for one Research Fellow position in any subfield of Empirical Microeconomics.

We welcome candidates with a strong research record and demonstrated scholarly impact. The successful candidate is expected to engage with our ongoing projects and contribute to the Center’s long-term development.

Qualifications: Full Professor in Economics

Applicants should submit the following documents electronically:
1.	Appointment Review Form for Research Fellows of Academia Sinica (available at: https://hro.sinica.edu.tw/posts/135618),
2.	Curriculum Vitae with complete publications and academic/professional experience,
3.	English-language copy of doctoral degree certificate.
4.	A brief statement on “What you will contribute to our center” (approx. 500 words),
5.	A research plan outlining current projects and future goals over the next 5–8 years (approx. 2,000 words, in English),
6.	Up to three representative publications from the past five years (journal articles or book chapters only),
 Please send the above materials (1–6) to: cibs@ssp.sinica.edu.tw.

Recommendation letters are not required at the initial stage. We may request them later as needed.

Application Deadline:
This position will remain open until filled.
",,,TAIWAN Taipei,D0 - General,,2025-08-01 00:00:00
2025-02,111476216,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",American University,College of Arts and Sciences,Departments of Economics and Health Studies,Health Economics,Assistant Professor,"The Departments of Economics and Health Studies in the College of Arts and Sciences at American University invite applications for a full-time, tenure-track position beginning September 1, 2026. We encourage candidates in health economics, with interests in public health or health studies with a vibrant research and teaching profile to apply. We are specifically seeking a candidate whose work bridges the fields of economics and health (such as research related to cost effectiveness of public health programs, the economic impact of disease, etc.). Qualifications The most competitive candidates will have the following qualifications:

● A PhD or an anticipated PhD completion by August 2026.
● A strong research record, including publications in peer-reviewed journals or demonstrated success in or potential for obtaining external funding.
● A record of interdisciplinary collaborations, especially between economics and the health fields.
● Motivation and ability to achieve excellence in teaching and mentoring at the undergraduate and graduate level.
● Willingness to help meet the needs of our growing departments through service, student advising, and working with other faculty members as a team.
Duties
● Maintain a strong, externally-funded research program in health economics that includes undergraduate and graduate students.
● Teach undergraduate and graduate level economics and health studies classes (in health economics and other topical areas) to serve as part of the general curriculum for majors and non-majors 
● Serve on department, college, and university activities and service. 

American University is a private institution with a diverse student and faculty population in a dynamic metropolitan area. Our campus is within easy reach of the many health science centers located in and around the nation’s capital, including HHS, NSF, NIH, and many other federally funded labs and research centers. Our departments pride themselves on our student-centered approach to mentorship and teaching for all students interested in economics and health studies. The Economics Department offers BA and BS undergraduate, MS graduate, and PhD degrees in Economics. The Health Studies Department offers a BS in Health Promotion and CEPH-accredited BA and BS undergraduate degrees in Public Health, an MA in Public Health Innovation & Practice, and MS graduate degrees in Health Promotion Management and Nutrition Education. We welcome applications that demonstrate interest in collaboration with existing faculty and local institutions, including interdisciplinary collaborations in adjacent fields.

American University is an equal opportunity, affirmative action institution that operates in compliance with applicable laws and regulations. The university does not discriminate on the basis of race, color, national origin, religion, sex (including pregnancy), age, sexual orientation, disability, marital status, personal appearance, gender identity and expression, family responsibilities, political affiliation, source of income, veteran status, an individual’s genetic information or any other bases under federal or local laws (collectively “Protected Bases”) in its programs and activities. Hiring offers for this position are contingent on the successful completion of a background check.","The salary range at the Assistant Professor rank is $100,000-115,000.",,UNITED STATES District of Columbia Washington,I1 - Health,2025-11-30 00:00:00,2025-09-16 00:00:00
2025-02,111476087,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",American University,School of International Service,,"Disasters
Sustainable Development 
Natural Resources
Environmental Justice 
Policy Analysis
Monitoring, Evaluation & Learning
Disaster Risk Reduction
Loss & Damage Funds
Implementation Science
Gender Programming 
Private Sector Engagement 
Emerging Technologies 
Mixed Research Methods
International 
Comparative Politics","Assistant Professor (Tenure-Track) - Department of Environment, Development & Health","We invite applications from scholars whose research examines the causes and consequences of disasters. We view disasters as significant harm to communities, economies, or the environment arising from natural or human-generated hazards, including extreme weather events and industrial accidents. Candidates should demonstrate expertise in analyzing the social, political, and economic drivers of disasters—such as institutions, policies, poverty, inequality, and violence. Particular consideration will be given to applicants whose work engages with sustainable development, gender, conflict, human rights, food and natural resources, and environmental justice.

We seek a social scientist and thought leader capable of integrating rigorous scholarship with applied practice. The ability to teach undergraduate and graduate courses on topics such as policy analysis, monitoring, evaluation and learning, disaster risk reduction, loss and damage funds, insurance mechanisms, implementation science, gender programming, private sector engagement, and emerging technologies in disaster preparedness and response is highly desirable.

Applicants must hold a PhD or the highest equivalent degree in a social science discipline by the start date of the appointment. Applications from candidates who are ABD at the time of application will also be considered.","$95,000 - $105,000 ",,UNITED STATES District of Columbia Washington,"O2 - Development Planning and Policy
R0 - General
Q0 - General",2025-12-31 00:00:00,2025-08-25 00:00:00
2025-02,111476059,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",American University | School of International Service,,"Department of Politics, Governance & Economics","Economic security
Strategic trade policy
Supply chain resilience
Financial statecraft","Assistant Professor (Tenure-Track) - Department of Politics, Governance & Economics","The Department of Politics, Governance and Economics (PGE) in the School of International Service (SIS) at American University (AU) invites applications for a full-time, tenure-track position in economic security at the rank of Assistant Professor beginning August 1, 2026.
 
We seek candidates focusing on economic security given the growing intersection of national security and economic competition. Economic security includes both the economic and political dimensions of global competition, including supply chain resilience and strategic trade policy. 

Applicants should hold a PhD or the highest equivalent degree in a social science or related discipline by the start date, though ABD applications will be considered.
 
We invite interested applicants to read the full position announcement on American University's faculty opportunities page. Review of applications will begin on 9/15/2025 and will continue until the position is filled, subject to ongoing budgetary approval.
 
American University is an Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, or protected Veteran status. Position is contingent on successful completion of a background check.
 ","$95,000 - $105,000",,UNITED STATES District of Columbia Washington,"00 - 00 - Default: Any Field
F5 - International Relations, National Security, and International Political Economy",2025-09-15 00:00:00,2025-08-18 00:00:00
2025-02,111476201,Full-Time Nonacademic,Analysis Group,,,,Associate,"About Analysis Group:
Make an impact at Analysis Group, where we provide our clients with thoughtful, pragmatic solutions to their most challenging business and litigation problems—within a collaborative, inclusive culture that values curiosity, teamwork, and continuous learning. Analysis Group is one of the largest private economics consulting firms, with more than 1,500 professionals across 15 offices in North America, Europe, and Asia. Since 1981, we have provided expertise in economics, finance, health care analytics, and strategy to top law firms, Fortune Global 500 companies, and government agencies worldwide. Our internal experts, together with our network of affiliated experts from academia, industry, and government, offer our clients exceptional breadth and depth of expertise.

 • We offer cutting-edge analyses and analytical tools to address business challenges that require rigorous, evidence-based research. 
 • We collaborate with top professors from leading institutions to create a bridge between current academic thinking and real business issues.
 • We assist premier law firms in many different litigation contexts, including antitrust, intellectual property, and commercial damages, and with all aspects of litigation, including pretrial discovery, development of economic and financial models, preparation of testimony, and critique of opposing experts. 
 • We advise corporate and government clients on a range of business issues that require expert interpretation of economic and financial data, including valuation of companies and assets, securities and financial instruments, tax and transfer pricing issues, cost-effectiveness analyses, market analyses, and evaluation of mergers and acquisitions. 
 • We also help organizations create strategies for growth by analyzing market dynamics and organizational capabilities, enhancing innovation in current products and services, and identifying new market opportunities.
 • We have received the Boston Bar Association’s President’s Award for the firm’s pro bono work on civil legal aid and homelessness, and the firm’s innovative approach to recruitment has been featured prominently in major outlets, including the Financial Times and Leaders magazine.
 • We have also been recognized as a best place to work in several top national surveys, including Glassdoor’s Best Places to Work and Employees’ Choice awards (small and medium business category) and Vault’s Consulting 50, where we ranked 17th overall and as the top-ranked economic consulting firm.

About the Associate Position: 
As an associate, you have the opportunity to work on complex business problems within an inclusive and collaborative environment. Associates can expect to work on multiple projects at a time across various practice areas and industries. Associates can expect to play a critical role in driving the research, analysis, and strategy of cases. Responsibilities may include:
• Quantitative analyses and modeling: you will help lead the development of empirical models to address our clients’ needs using tools such as SAS, R, Stata, Python
• Qualitative research: you will contribute to and oversee the review of academic and industry research; you will evaluate client documents to develop support to address our clients’ needs
• Preparation of reports/collaboration with experts: you will assist in the development of expert reports and other client deliverables; you will collaborate with internal and external experts to identify innovative, evidence-based solutions to our clients’ problems
• Team building and collaboration: you will collaborate with colleagues at all levels and across offices as part of your portfolio of case work, helping to foster a collaborative and inclusive team environment
• Firm-building initiatives: you will contribute to firm life by participating in recruiting, mentoring, and inclusion initiatives; pro bono work; and business development and marketing activities (including marketing calls and pitch material development)

Analysis Group fosters a progressive and academically oriented work environment, with an emphasis on teamwork and collaboration across diverse areas of expertise. The ideal candidate will possess:
• A Ph.D. in Economics, Finance, Accounting or related discipline.
• Strong quantitative and research skills, including analytical and creative problem-solving abilities; the ability to apply targeted research to address client challenges; intellectual curiosity with a strong desire to continuously learn; and the ability to anticipate and respond effectively to opposing arguments.
• Clear and effective written and verbal communication skills, with the ability to present complex ideas clearly and concisely.
• Demonstrated interpersonal skills and a collaborative mindset, with the ability to work independently and within a team setting.
• A strong academic track record, with demonstrated attention to detail, organizational skills, and a commitment to producing high-quality work.

Analysis Group embraces equal opportunity. We are committed to building teams that bring a variety of backgrounds, perspectives, and skills, as we believe that a strong and inclusive workforce directly supports our goal of providing the highest-quality work. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or any other class protected under applicable federal, state, or local law, and we encourage candidates of all backgrounds to apply.","$180,000-$240,000",,"UNITED STATES Massachusetts Boston
UNITED STATES Illinois Chicago
UNITED STATES Texas Dallas
UNITED STATES Colorado Denver
UNITED STATES California Los Angeles
UNITED STATES New York New York
UNITED STATES California San Francisco
UNITED STATES District of Columbia Washington, DC","D - Microeconomics
G - Financial Economics
J - Labor and Demographic Economics
I1 - Health
L - Industrial Organization
M - Business Administration and Business Economics; Marketing; Accounting; Personnel Economics",2025-11-17 00:00:00,2025-09-15 00:00:00
2025-02,111476217,Full-Time Nonacademic,Analysis Group,,,,Associate – Montreal/Toronto,"Make an impact at Groupe d’analyse, where we provide our clients with thoughtful, pragmatic solutions to their most challenging business and litigation problems—within a collaborative, inclusive culture that values curiosity, teamwork, and continuous learning. Groupe d’analyse is one of the largest private economics consulting firms, with more than 1,500 professionals across 15 offices in North America, Europe, and Asia. Since 1981, we have provided expertise in economics, finance, health care analytics, and strategy to top law firms, Fortune Global 500 companies, and government agencies worldwide. Our internal experts, together with our network of affiliated experts from academia, industry, and government, offer our clients exceptional breadth and depth of expertise.

• We offer cutting-edge analyses and analytical tools to address business challenges that require rigorous, evidence-based research. 
• We collaborate with top professors from leading institutions to create a bridge between current academic thinking and real business issues.
• We assist premier law firms in many different litigation contexts, including antitrust, intellectual property and commercial damages, and with all aspects of litigation, including pretrial discovery, development of economic and financial models, preparation of testimony, and critique of opposing experts. 
• We advise corporate and government clients on a range of business issues that require expert interpretation of economic and financial data, including valuation of companies and assets, securities and financial instruments, tax and transfer pricing issues, cost-effectiveness analyses, market analyses, and evaluation of mergers and acquisitions. 
• We also help organizations create strategies for growth by analyzing market dynamics and organizational capabilities, enhancing innovation in current products and services, and identifying new market opportunities.
• We have received the Boston Bar Association’s President’s Award for the firm’s pro bono work on civil legal aid and homelessness, and the firm’s innovative approach to recruitment has been featured prominently in major outlets, including the Financial Times and Leaders magazine.
• We have also been recognized as a best place to work in several top national surveys, including Glassdoor’s Best Places to Work and Employees’ Choice awards (small and medium business category) and Vault’s Consulting 50, where we ranked 17th overall and as the top-ranked economic consulting firm.

About the Associate Position: 
As an associate, you have the opportunity to work on complex business problems within an inclusive and collaborative environment. Associates can expect to work on multiple projects at a time across various practice areas and industries. Associates can expect to play a critical role in driving the research, analysis, and strategy of cases. Responsibilities may include:
• Quantitative analyses and modeling: you will help lead the development of empirical models to address our clients’ needs using tools such as SAS, R, Stata, Python
• Qualitative research: you will contribute to and oversee the review of academic and industry research; you will evaluate client documents to develop support to address our clients’ needs
• Preparation of reports/collaboration with experts: you will assist in the development of expert reports and other client deliverables; you will collaborate with internal and external experts to identify innovative, evidence-based solutions to our clients’ problems
• Team building and collaboration: you will collaborate with colleagues at all levels and across offices as part of your portfolio of case work, helping to foster a collaborative and inclusive team environment
• Firm-building initiatives: you will contribute to firm life by participating in recruiting, mentoring, and inclusion initiatives; pro bono work; and business development and marketing activities (including marketing calls and pitch material development)

Groupe d’analyse fosters a progressive and academically oriented work environment, with an emphasis on teamwork and collaboration across diverse areas of expertise. The ideal candidate will possess:
• A Ph.D. in Economics, Finance, Accounting or related discipline.
• Strong quantitative and research skills, including analytical and creative problem-solving abilities; the ability to apply targeted research to address client challenges; intellectual curiosity with a strong desire to continuously learn; and the ability to anticipate and respond effectively to opposing arguments.
• Clear and effective written and verbal communication skills, with the ability to present complex ideas clearly and concisely.
• Demonstrated interpersonal skills and a collaborative mindset, with the ability to work independently and within a team setting.
• A strong academic track record, with demonstrated attention to detail, organizational skills, and a commitment to producing high-quality work.

Groupe d’analyse embraces equal opportunity. We are committed to building teams that bring a variety of backgrounds, perspectives, and skills, as we believe that a strong and inclusive workforce directly supports our goal of providing the highest-quality work. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or any other class protected under applicable federal, state, or local law, and we encourage candidates of all backgrounds to apply.",,,"CANADA ON Toronto
CANADA QC Montreal","D - Microeconomics
G - Financial Economics
I1 - Health
L - Industrial Organization
M - Business Administration and Business Economics; Marketing; Accounting; Personnel Economics",2025-11-17 00:00:00,2025-09-16 00:00:00
2025-02,111475986,Full-Time Nonacademic,Andersen Institute for Finance and Economics,,,"Research Economist
Applied Micro
Artificial Intelligence
Innovation
Geopolitics
Geofragmentation
Trade
Supply Chains
Corporate Finance
Think Tank
Finance",Research Economist,"Andersen is seeking research economists to join the Andersen Institute for Finance and Economics. The Andersen Institute’s mission is to shape discussions on the most pressing global economic and financial issues facing businesses and governments today. By delivering insights on key global trends, the Andersen Institute aims to foster intellectual leadership, influence public discourse, and provide strategic direction to business decision-makers to help navigate a complex global economy.

To learn more about the Institute: https://anderseninstitute.org/about-andersen-institute/

Research economists will join a team of micro and macro economists exploring the interconnections between major global themes such as technological innovation and artificial intelligence (AI), geopolitics and fragmentation, rising levels of public debt and demographics, and climate change and decarbonization in a poly-crisis world with significant uncertainties.

These trends will be assessed from both a micro and macro perspective, evaluating how global public and private financial markets price risks and opportunities and how businesses, governments, and financial institutions navigate these evolving trends. Key topics of interest include: 
- perspectives on how AI & other technological innovations are reshaping businesses and the labor market
- implications for businesses of the ongoing shift toward a more fragmented world and other risks for firms associated with geopolitical risk and uncertainty 
- understandings on how secular changes in demographic and climate resilience will reshape the business world over the coming decade

Recruited research economists will conduct independent and collaborative research and publish findings in top peer-reviewed journals, working paper series of the Institute, as well as in other outlets targeting business and policy audiences. They will be expected to present at research conferences, participate in public and private events, engage in dialogue with the private sector and policymakers, and contribute to the Institute’s social media presence and other dissemination channels.

The research produced will be highly relevant to a diverse audience, including academic leaders, private sector executives, and policymakers.

The Institute strives to foster a creative, collaborative, and entrepreneurial research-lab environment that values intellectual curiosity, rigorous thinking, and real-world impact. Researchers work in teams that leverage skill complementarities and are encouraged to take initiative in shaping projects, and to pursue new ideas grounded on solid research methodologies. The Institute aims to create a culture that supports relevance, innovation, open dialogue, and mentorship, where early-career scholars can grow into thought leaders.

A PhD in Economics, Finance or a related field is required. Economists currently employed in academia or research policy institutions should have a very strong record of publication in peer reviewed journals. The Institute welcomes applications from candidates across all fields, with a strong preference for those specializing in empirical finance, applied microeconomics, corporate finance, or macro-finance. The Institute’s research economists should have outstanding analytical skills, keen interest in the Institute’s mission, and strong written and verbal communication capabilities. Interest and ability to distill lessons from research and translate that into implications for business decision making communicated in clear terms to a non-technical audience is essential.

Application Requirements:
•	CV
•	Job Market Paper
•	Cover Letter
•	Three Letters of Reference

Due to expected growth, the Institute anticipates fulfilling its hiring needs over multiple job market cycles and will evaluate applications on a rolling basis. Review of applications will begin immediately and continue until the position is filled. ",Competitive,,"UNITED STATES Washington District of Columbia
UNITED STATES Washington Remote","E0 - General
F0 - General
G0 - General
J0 - General
O0 - General
D0 - General
M0 - General
Q0 - General",,2025-08-01 00:00:00
2025-02,111476145,Full-Time Nonacademic,Apple Inc.,,,"Causal Inference
Econometrics
Statistics
Industrial Organization",Economist/Core Data Scientist,"This is a visible and important role at Apple in China, which has a great impact on the Sales Team. The individual in this role will be responsible for interpreting quantitative data and developing statistical models to forecast and monitor sales demand & supply for the sales analytics team. You will have the opportunity to 

- Partner with business teams to translate strategic questions into analytical frameworks
- Build and apply models for causal inference, forecasting, and optimization
- Analyze complex datasets, including geospatial and market data, to identify performance drivers
- Present clear, actionable insights to stakeholders in both Mandarin and English

It is highly desirable that you have a strong background in statistics and econometrics, and excellent communication skills in both Mandarin and English. It is required that you are an experienced R/Python programmer, and also proficient in other languages important to the ETL data pipeline (e.g., SQL). Industry experience as a senior data scientist; engineering or production-level coding experience is a plus",,,CHINA,"00 - 00 - Default: Any Field
C - Mathematical and Quantitative Methods
J - Labor and Demographic Economics
L - Industrial Organization",2026-07-01 00:00:00,2025-09-08 00:00:00
2025-02,111476152,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Babson College,Economics Division,Economics,"International Macroeconomics
Monetory Policy
Money & Banking
Applied Macro
Economic Thought",Assistant Professor ,"The Economics Division at Babson College invites applicants for an Assistant Professor of Practice specializing in Macroeconomics. We are looking for candidates who are committed to excellence in teaching. The primary responsibilities will include teaching Principles of Macroeconomics. We would also welcome teaching in International Trade, Behavioral Economics, and/or undergraduate Macroeconomic electives aside from Money & Banking and International Finance which are currently staffed.

Ph.D. in Economics is required, though ABD with a firm completion date by Fall 2026 will be considered. Candidates must have demonstrated evidence of teaching excellence and be ready to teach in an integrated, cross-disciplinary environment with a strong international student body. Especially welcome are candidates who can bridge the gap between theory and practice, bring global perspectives to their teaching and research, and convey the importance of economics in a business environment.

Babson College, located 14 miles west of Boston, is an independent school of management, acclaimed both nationally and internationally for its leadership in entrepreneurship education. We seek candidates who are eager to engage as educators among a diverse student community.

Babson College is an EO/AA employer committed to fostering a diverse community.",Competitive,,UNITED STATES Massachusetts Wellesley,E0 - General,2025-11-26 00:00:00,2025-09-10 00:00:00
2025-02,111475923,Full-Time Nonacademic,Banco de la República,,,"Macroeconomics
Monetary Economics
International Finance
Macroeconomic Aspects of International Trade and Finance
Public Economics
",Economist / Researcher,"Banco de la República, the Colombian central bank, is seeking to hire new or experienced Ph.D. economists to join its team as researchers/economists.
 
Successful candidates will be expected to conduct high-quality, policy-relevant research for publication in peer-reviewed journals and to prepare reports for the Bank’s senior management. Areas of interest include macroeconomic theory, applied macroeconomics, macroeconometrics, and public economics.
 
 
Applicants should submit a CV, a sample of recent research, three reference letters, and a cover letter explaining their interest in working for Banco de la Republica.
 
Questions regarding the application process may be directed to jcarraro@banrep.gov.co or jospinte@banrep.gov.co. Selected candidates will be contacted directly to arrange interviews and flyouts. Applications will be accepted on a rolling basis until all positions are filled.
",,,COLOMBIA Cundinamarca Bogota,"E - Macroeconomics and Monetary Economics
F3 - International Finance
F4 - Macroeconomic Aspects of International Trade and Finance
H - Public Economics",2027-01-01 00:00:00,2025-08-01 00:00:00
